1 Q0 chart-1, DStar, SimFix, combine: 3 1 0.49452 indri
24 Q0 chart-24, Jaccard, SimFix, combine: 7 10 0.48739 indri
24 Q0 chart-24, Ochiai, ACS, combine: 9 11 0.48739 indri
24 Q0 chart-24, Ochiai, Nopol, combine: 10 12 0.48739 indri
24 Q0 chart-24, Ochiai, SimFix, combine: 11 13 0.48739 indri
24 Q0 chart-24, Tarantula, ACS, combine: 13 14 0.48739 indri
24 Q0 chart-24, Tarantula, Nopol, combine: 14 15 0.48739 indri
24 Q0 chart-24, Tarantula, SimFix, combine: 15 16 0.48739 indri
25 Q0 chart-25, DStar, Nopol, combine: 2 1 0.49257 indri
25 Q0 chart-25, DStar, SimFix, combine: 3 2 0.49257 indri
25 Q0 chart-25, DStar, TBar, combine: 4 3 0.49257 indri
25 Q0 chart-25, Jaccard, Nopol, combine: 6 4 0.49257 indri
25 Q0 chart-25, Jaccard, SimFix, combine: 7 5 0.49257 indri
25 Q0 chart-25, Jaccard, TBar, combine: 8 6 0.49257 indri
25 Q0 chart-25, Ochiai, Nopol, combine: 10 7 0.49257 indri
25 Q0 chart-25, Ochiai, SimFix, combine: 11 8 0.49257 indri
25 Q0 chart-25, Ochiai, TBar, combine: 12 9 0.49257 indri
25 Q0 chart-25, Tarantula, Nopol, combine: 14 10 0.49257 indri
25 Q0 chart-25, Tarantula, SimFix, combine: 15 11 0.49257 indri
25 Q0 chart-25, Tarantula, TBar, combine: 16 12 0.49257 indri
25 Q0 chart-25, DStar, ACS, combine: 1 13 0.49061 indri
25 Q0 chart-25, Jaccard, ACS, combine: 5 14 0.49061 indri
25 Q0 chart-25, Ochiai, ACS, combine: 9 15 0.49061 indri
25 Q0 chart-25, Tarantula, ACS, combine: 13 16 0.49061 indri
26 Q0 chart-26, DStar, TBar, combine: 4 1 0.49452 indri
26 Q0 chart-26, Jaccard, TBar, combine: 8 2 0.49452 indri
26 Q0 chart-26, Ochiai, TBar, combine: 12 3 0.49452 indri
26 Q0 chart-26, Tarantula, TBar, combine: 16 4 0.49452 indri
26 Q0 chart-26, DStar, Nopol, combine: 2 5 0.49257 indri
26 Q0 chart-26, Jaccard, Nopol, combine: 6 6 0.49257 indri
26 Q0 chart-26, Ochiai, Nopol, combine: 10 7 0.49257 indri
26 Q0 chart-26, Tarantula, Nopol, combine: 14 8 0.49257 indri
26 Q0 chart-26, DStar, ACS, combine: 1 9 0.49061 indri
26 Q0 chart-26, DStar, SimFix, combine: 3 10 0.49061 indri
26 Q0 chart-26, Jaccard, ACS, combine: 5 11 0.49061 indri
26 Q0 chart-26, Jaccard, SimFix, combine: 7 12 0.49061 indri
26 Q0 chart-26, Ochiai, ACS, combine: 9 13 0.49061 indri
26 Q0 chart-26, Ochiai, SimFix, combine: 11 14 0.49061 indri
26 Q0 chart-26, Tarantula, ACS, combine: 13 15 0.49061 indri
26 Q0 chart-26, Tarantula, SimFix, combine: 15 16 0.49061 indri
