10001 Q0 chart-1, Ample, SimFix, combine: 3 1 0.55337 indri
10005 Q0 chart-5, Goodman, TBar, combine: 88 106 0.55454 indri
10005 Q0 chart-5, Goodman, jGenProg, combine: 89 107 0.55454 indri
10005 Q0 chart-5, Goodman, jKali, combine: 90 108 0.55454 indri
10005 Q0 chart-5, Goodman, jMutRepair, combine: 91 109 0.55454 indri
10005 Q0 chart-5, GP13, ACS, combine: 99 110 0.55454 indri
10005 Q0 chart-5, GP13, SimFix, combine: 101 111 0.55454 indri
10005 Q0 chart-5, GP13, TBar, combine: 102 112 0.55454 indri
10005 Q0 chart-5, GP13, jGenProg, combine: 103 113 0.55454 indri
10005 Q0 chart-5, GP13, jKali, combine: 104 114 0.55454 indri
10005 Q0 chart-5, GP13, jMutRepair, combine: 105 115 0.55454 indri
10005 Q0 chart-5, Jaccard, ACS, combine: 127 116 0.55454 indri
10005 Q0 chart-5, Jaccard, SimFix, combine: 129 117 0.55454 indri
10005 Q0 chart-5, Jaccard, TBar, combine: 130 118 0.55454 indri
10005 Q0 chart-5, Jaccard, jGenProg, combine: 131 119 0.55454 indri
10005 Q0 chart-5, Jaccard, jKali, combine: 132 120 0.55454 indri
10005 Q0 chart-5, Jaccard, jMutRepair, combine: 133 121 0.55454 indri
10005 Q0 chart-5, Kulczynski1, ACS, combine: 134 122 0.55454 indri
10005 Q0 chart-5, Kulczynski1, SimFix, combine: 136 123 0.55454 indri
10005 Q0 chart-5, Kulczynski1, TBar, combine: 137 124 0.55454 indri
10005 Q0 chart-5, Kulczynski1, jGenProg, combine: 138 125 0.55454 indri
10005 Q0 chart-5, Kulczynski1, jKali, combine: 139 126 0.55454 indri
10005 Q0 chart-5, Kulczynski1, jMutRepair, combine: 140 127 0.55454 indri
10005 Q0 chart-5, Kulczynskil2, ACS, combine: 141 128 0.55454 indri
10005 Q0 chart-5, Kulczynskil2, SimFix, combine: 143 129 0.55454 indri
10005 Q0 chart-5, Kulczynskil2, TBar, combine: 144 130 0.55454 indri
10005 Q0 chart-5, Kulczynskil2, jGenProg, combine: 145 131 0.55454 indri
10005 Q0 chart-5, Kulczynskil2, jKali, combine: 146 132 0.55454 indri
10005 Q0 chart-5, Kulczynskil2, jMutRepair, combine: 147 133 0.55454 indri
10005 Q0 chart-5, M2, ACS, combine: 155 134 0.55454 indri
10005 Q0 chart-5, M2, SimFix, combine: 157 135 0.55454 indri
10005 Q0 chart-5, M2, TBar, combine: 158 136 0.55454 indri
10005 Q0 chart-5, M2, jGenProg, combine: 159 137 0.55454 indri
10005 Q0 chart-5, M2, jKali, combine: 160 138 0.55454 indri
10005 Q0 chart-5, M2, jMutRepair, combine: 161 139 0.55454 indri
10005 Q0 chart-5, Michael, ACS, combine: 162 140 0.55454 indri
10005 Q0 chart-5, Michael, SimFix, combine: 164 141 0.55454 indri
10005 Q0 chart-5, Michael, TBar, combine: 165 142 0.55454 indri
10005 Q0 chart-5, Michael, jGenProg, combine: 166 143 0.55454 indri
10005 Q0 chart-5, Michael, jKali, combine: 167 144 0.55454 indri
10005 Q0 chart-5, Michael, jMutRepair, combine: 168 145 0.55454 indri
10005 Q0 chart-5, Mountford, ACS, combine: 169 146 0.55454 indri
10005 Q0 chart-5, Mountford, SimFix, combine: 171 147 0.55454 indri
10005 Q0 chart-5, Mountford, TBar, combine: 172 148 0.55454 indri
10005 Q0 chart-5, Mountford, jGenProg, combine: 173 149 0.55454 indri
10005 Q0 chart-5, Mountford, jKali, combine: 174 150 0.55454 indri
10005 Q0 chart-5, Mountford, jMutRepair, combine: 175 151 0.55454 indri
10005 Q0 chart-5, Ochiai, ACS, combine: 176 152 0.55454 indri
10005 Q0 chart-5, Ochiai, SimFix, combine: 178 153 0.55454 indri
10005 Q0 chart-5, Ochiai, TBar, combine: 179 154 0.55454 indri
10005 Q0 chart-5, Ochiai, jGenProg, combine: 180 155 0.55454 indri
10005 Q0 chart-5, Ochiai, jKali, combine: 181 156 0.55454 indri
10005 Q0 chart-5, Ochiai, jMutRepair, combine: 182 157 0.55454 indri
10005 Q0 chart-5, OptimalP, ACS, combine: 197 158 0.55454 indri
10005 Q0 chart-5, OptimalP, SimFix, combine: 199 159 0.55454 indri
10005 Q0 chart-5, OptimalP, TBar, combine: 200 160 0.55454 indri
10005 Q0 chart-5, OptimalP, jGenProg, combine: 201 161 0.55454 indri
10005 Q0 chart-5, OptimalP, jKali, combine: 202 162 0.55454 indri
10005 Q0 chart-5, OptimalP, jMutRepair, combine: 203 163 0.55454 indri
10005 Q0 chart-5, Overlap, ACS, combine: 204 164 0.55454 indri
10005 Q0 chart-5, Overlap, SimFix, combine: 206 165 0.55454 indri
10005 Q0 chart-5, Overlap, TBar, combine: 207 166 0.55454 indri
10005 Q0 chart-5, Overlap, jGenProg, combine: 208 167 0.55454 indri
10005 Q0 chart-5, Overlap, jKali, combine: 209 168 0.55454 indri
10005 Q0 chart-5, Overlap, jMutRepair, combine: 210 169 0.55454 indri
10005 Q0 chart-5, Phi, ACS, combine: 211 170 0.55454 indri
10005 Q0 chart-5, Phi, SimFix, combine: 213 171 0.55454 indri
10005 Q0 chart-5, Phi, TBar, combine: 214 172 0.55454 indri
10005 Q0 chart-5, Phi, jGenProg, combine: 215 173 0.55454 indri
10005 Q0 chart-5, Phi, jKali, combine: 216 174 0.55454 indri
10005 Q0 chart-5, Phi, jMutRepair, combine: 217 175 0.55454 indri
10005 Q0 chart-5, Rogot1, ACS, combine: 232 176 0.55454 indri
10005 Q0 chart-5, Rogot1, SimFix, combine: 234 177 0.55454 indri
10005 Q0 chart-5, Rogot1, TBar, combine: 235 178 0.55454 indri
10005 Q0 chart-5, Rogot1, jGenProg, combine: 236 179 0.55454 indri
10005 Q0 chart-5, Rogot1, jKali, combine: 237 180 0.55454 indri
10005 Q0 chart-5, Rogot1, jMutRepair, combine: 238 181 0.55454 indri
10005 Q0 chart-5, Rogot2, ACS, combine: 239 182 0.55454 indri
10005 Q0 chart-5, Rogot2, SimFix, combine: 241 183 0.55454 indri
10005 Q0 chart-5, Rogot2, TBar, combine: 242 184 0.55454 indri
10005 Q0 chart-5, Rogot2, jGenProg, combine: 243 185 0.55454 indri
10005 Q0 chart-5, Rogot2, jKali, combine: 244 186 0.55454 indri
10005 Q0 chart-5, Rogot2, jMutRepair, combine: 245 187 0.55454 indri
10005 Q0 chart-5, SBI, ACS, combine: 253 188 0.55454 indri
10005 Q0 chart-5, SBI, SimFix, combine: 255 189 0.55454 indri
10005 Q0 chart-5, SBI, TBar, combine: 256 190 0.55454 indri
10005 Q0 chart-5, SBI, jGenProg, combine: 257 191 0.55454 indri
10005 Q0 chart-5, SBI, jKali, combine: 258 192 0.55454 indri
10005 Q0 chart-5, SBI, jMutRepair, combine: 259 193 0.55454 indri
10005 Q0 chart-5, Scott, ACS, combine: 260 194 0.55454 indri
10005 Q0 chart-5, Scott, SimFix, combine: 262 195 0.55454 indri
10005 Q0 chart-5, Scott, TBar, combine: 263 196 0.55454 indri
10005 Q0 chart-5, Scott, jGenProg, combine: 264 197 0.55454 indri
10005 Q0 chart-5, Scott, jKali, combine: 265 198 0.55454 indri
10005 Q0 chart-5, Scott, jMutRepair, combine: 266 199 0.55454 indri
10005 Q0 chart-5, SorensenDice, ACS, combine: 281 200 0.55454 indri
10005 Q0 chart-5, SorensenDice, SimFix, combine: 283 201 0.55454 indri
10005 Q0 chart-5, SorensenDice, TBar, combine: 284 202 0.55454 indri
10005 Q0 chart-5, SorensenDice, jGenProg, combine: 285 203 0.55454 indri
10005 Q0 chart-5, SorensenDice, jKali, combine: 286 204 0.55454 indri
10005 Q0 chart-5, SorensenDice, jMutRepair, combine: 287 205 0.55454 indri
10005 Q0 chart-5, Tarantula, ACS, combine: 288 206 0.55454 indri
10005 Q0 chart-5, Tarantula, SimFix, combine: 290 207 0.55454 indri
10005 Q0 chart-5, Tarantula, TBar, combine: 291 208 0.55454 indri
10005 Q0 chart-5, Tarantula, jGenProg, combine: 292 209 0.55454 indri
10005 Q0 chart-5, Tarantula, jKali, combine: 293 210 0.55454 indri
10005 Q0 chart-5, Tarantula, jMutRepair, combine: 294 211 0.55454 indri
10005 Q0 chart-5, Tarwid, ACS, combine: 295 212 0.55454 indri
10005 Q0 chart-5, Tarwid, SimFix, combine: 297 213 0.55454 indri
10005 Q0 chart-5, Tarwid, TBar, combine: 298 214 0.55454 indri
10005 Q0 chart-5, Tarwid, jGenProg, combine: 299 215 0.55454 indri
10005 Q0 chart-5, Tarwid, jKali, combine: 300 216 0.55454 indri
10005 Q0 chart-5, Tarwid, jMutRepair, combine: 301 217 0.55454 indri
10005 Q0 chart-5, Euclid, Nopol, combine: 65 218 0.55337 indri
10005 Q0 chart-5, Fossum, Nopol, combine: 79 219 0.55337 indri
10005 Q0 chart-5, Gower, Nopol, combine: 93 220 0.55337 indri
10005 Q0 chart-5, Hamann, Nopol, combine: 107 221 0.55337 indri
10005 Q0 chart-5, Hamming, Nopol, combine: 114 222 0.55337 indri
10005 Q0 chart-5, HarmonicMean, Nopol, combine: 121 223 0.55337 indri
10005 Q0 chart-5, M1, Nopol, combine: 149 224 0.55337 indri
10005 Q0 chart-5, Ochiai2, Nopol, combine: 184 225 0.55337 indri
10005 Q0 chart-5, Optimal, Nopol, combine: 191 226 0.55337 indri
10005 Q0 chart-5, Pierce, Nopol, combine: 219 227 0.55337 indri
10005 Q0 chart-5, RogersTanimoto, Nopol, combine: 226 228 0.55337 indri
10005 Q0 chart-5, SimpleMatching, Nopol, combine: 268 229 0.55337 indri
10005 Q0 chart-5, Sokal, Nopol, combine: 275 230 0.55337 indri
10005 Q0 chart-5, Wong2, Nopol, combine: 310 231 0.55337 indri
10005 Q0 chart-5, Wong3, Nopol, combine: 317 232 0.55337 indri
10005 Q0 chart-5, Zoltar, Nopol, combine: 324 233 0.55337 indri
10005 Q0 chart-5, Euclid, ACS, combine: 64 234 0.5525 indri
10005 Q0 chart-5, Euclid, SimFix, combine: 66 235 0.5525 indri
10005 Q0 chart-5, Euclid, TBar, combine: 67 236 0.5525 indri
10005 Q0 chart-5, Euclid, jGenProg, combine: 68 237 0.5525 indri
10005 Q0 chart-5, Euclid, jKali, combine: 69 238 0.5525 indri
10005 Q0 chart-5, Euclid, jMutRepair, combine: 70 239 0.5525 indri
10005 Q0 chart-5, Fossum, ACS, combine: 78 240 0.5525 indri
10005 Q0 chart-5, Fossum, SimFix, combine: 80 241 0.5525 indri
10005 Q0 chart-5, Fossum, TBar, combine: 81 242 0.5525 indri
10005 Q0 chart-5, Fossum, jGenProg, combine: 82 243 0.5525 indri
10005 Q0 chart-5, Fossum, jKali, combine: 83 244 0.5525 indri
10005 Q0 chart-5, Fossum, jMutRepair, combine: 84 245 0.5525 indri
10005 Q0 chart-5, Gower, ACS, combine: 92 246 0.5525 indri
10005 Q0 chart-5, Gower, SimFix, combine: 94 247 0.5525 indri
10005 Q0 chart-5, Gower, TBar, combine: 95 248 0.5525 indri
10005 Q0 chart-5, Gower, jGenProg, combine: 96 249 0.5525 indri
10005 Q0 chart-5, Gower, jKali, combine: 97 250 0.5525 indri
10005 Q0 chart-5, Gower, jMutRepair, combine: 98 251 0.5525 indri
10005 Q0 chart-5, Hamann, ACS, combine: 106 252 0.5525 indri
10005 Q0 chart-5, Hamann, SimFix, combine: 108 253 0.5525 indri
10005 Q0 chart-5, Hamann, TBar, combine: 109 254 0.5525 indri
10005 Q0 chart-5, Hamann, jGenProg, combine: 110 255 0.5525 indri
10005 Q0 chart-5, Hamann, jKali, combine: 111 256 0.5525 indri
10005 Q0 chart-5, Hamann, jMutRepair, combine: 112 257 0.5525 indri
10005 Q0 chart-5, Hamming, ACS, combine: 113 258 0.5525 indri
10005 Q0 chart-5, Hamming, SimFix, combine: 115 259 0.5525 indri
10005 Q0 chart-5, Hamming, TBar, combine: 116 260 0.5525 indri
10005 Q0 chart-5, Hamming, jGenProg, combine: 117 261 0.5525 indri
10005 Q0 chart-5, Hamming, jKali, combine: 118 262 0.5525 indri
10005 Q0 chart-5, Hamming, jMutRepair, combine: 119 263 0.5525 indri
10005 Q0 chart-5, HarmonicMean, ACS, combine: 120 264 0.5525 indri
10005 Q0 chart-5, HarmonicMean, SimFix, combine: 122 265 0.5525 indri
10005 Q0 chart-5, HarmonicMean, TBar, combine: 123 266 0.5525 indri
10005 Q0 chart-5, HarmonicMean, jGenProg, combine: 124 267 0.5525 indri
10005 Q0 chart-5, HarmonicMean, jKali, combine: 125 268 0.5525 indri
10005 Q0 chart-5, HarmonicMean, jMutRepair, combine: 126 269 0.5525 indri
10005 Q0 chart-5, M1, ACS, combine: 148 270 0.5525 indri
10005 Q0 chart-5, M1, SimFix, combine: 150 271 0.5525 indri
10005 Q0 chart-5, M1, TBar, combine: 151 272 0.5525 indri
10005 Q0 chart-5, M1, jGenProg, combine: 152 273 0.5525 indri
10005 Q0 chart-5, M1, jKali, combine: 153 274 0.5525 indri
10005 Q0 chart-5, M1, jMutRepair, combine: 154 275 0.5525 indri
10005 Q0 chart-5, Ochiai2, ACS, combine: 183 276 0.5525 indri
10005 Q0 chart-5, Ochiai2, SimFix, combine: 185 277 0.5525 indri
10005 Q0 chart-5, Ochiai2, TBar, combine: 186 278 0.5525 indri
10005 Q0 chart-5, Ochiai2, jGenProg, combine: 187 279 0.5525 indri
10005 Q0 chart-5, Ochiai2, jKali, combine: 188 280 0.5525 indri
10005 Q0 chart-5, Ochiai2, jMutRepair, combine: 189 281 0.5525 indri
10005 Q0 chart-5, Optimal, ACS, combine: 190 282 0.5525 indri
10005 Q0 chart-5, Optimal, SimFix, combine: 192 283 0.5525 indri
10005 Q0 chart-5, Optimal, TBar, combine: 193 284 0.5525 indri
10005 Q0 chart-5, Optimal, jGenProg, combine: 194 285 0.5525 indri
10005 Q0 chart-5, Optimal, jKali, combine: 195 286 0.5525 indri
10005 Q0 chart-5, Optimal, jMutRepair, combine: 196 287 0.5525 indri
10005 Q0 chart-5, Pierce, ACS, combine: 218 288 0.5525 indri
10005 Q0 chart-5, Pierce, SimFix, combine: 220 289 0.5525 indri
10005 Q0 chart-5, Pierce, TBar, combine: 221 290 0.5525 indri
10005 Q0 chart-5, Pierce, jGenProg, combine: 222 291 0.5525 indri
10005 Q0 chart-5, Pierce, jKali, combine: 223 292 0.5525 indri
10005 Q0 chart-5, Pierce, jMutRepair, combine: 224 293 0.5525 indri
10005 Q0 chart-5, RogersTanimoto, ACS, combine: 225 294 0.5525 indri
10005 Q0 chart-5, RogersTanimoto, SimFix, combine: 227 295 0.5525 indri
10005 Q0 chart-5, RogersTanimoto, TBar, combine: 228 296 0.5525 indri
10005 Q0 chart-5, RogersTanimoto, jGenProg, combine: 229 297 0.5525 indri
10005 Q0 chart-5, RogersTanimoto, jKali, combine: 230 298 0.5525 indri
10005 Q0 chart-5, RogersTanimoto, jMutRepair, combine: 231 299 0.5525 indri
10005 Q0 chart-5, SimpleMatching, ACS, combine: 267 300 0.5525 indri
10005 Q0 chart-5, SimpleMatching, SimFix, combine: 269 301 0.5525 indri
10005 Q0 chart-5, SimpleMatching, TBar, combine: 270 302 0.5525 indri
10005 Q0 chart-5, SimpleMatching, jGenProg, combine: 271 303 0.5525 indri
10005 Q0 chart-5, SimpleMatching, jKali, combine: 272 304 0.5525 indri
10005 Q0 chart-5, SimpleMatching, jMutRepair, combine: 273 305 0.5525 indri
10005 Q0 chart-5, Sokal, ACS, combine: 274 306 0.5525 indri
10005 Q0 chart-5, Sokal, SimFix, combine: 276 307 0.5525 indri
10005 Q0 chart-5, Sokal, TBar, combine: 277 308 0.5525 indri
10005 Q0 chart-5, Sokal, jGenProg, combine: 278 309 0.5525 indri
10005 Q0 chart-5, Sokal, jKali, combine: 279 310 0.5525 indri
10005 Q0 chart-5, Sokal, jMutRepair, combine: 280 311 0.5525 indri
10005 Q0 chart-5, Wong2, ACS, combine: 309 312 0.5525 indri
10005 Q0 chart-5, Wong2, SimFix, combine: 311 313 0.5525 indri
10005 Q0 chart-5, Wong2, TBar, combine: 312 314 0.5525 indri
10005 Q0 chart-5, Wong2, jGenProg, combine: 313 315 0.5525 indri
10005 Q0 chart-5, Wong2, jKali, combine: 314 316 0.5525 indri
10005 Q0 chart-5, Wong2, jMutRepair, combine: 315 317 0.5525 indri
10005 Q0 chart-5, Wong3, ACS, combine: 316 318 0.5525 indri
10005 Q0 chart-5, Wong3, SimFix, combine: 318 319 0.5525 indri
10005 Q0 chart-5, Wong3, TBar, combine: 319 320 0.5525 indri
10005 Q0 chart-5, Wong3, jGenProg, combine: 320 321 0.5525 indri
10005 Q0 chart-5, Wong3, jKali, combine: 321 322 0.5525 indri
10005 Q0 chart-5, Wong3, jMutRepair, combine: 322 323 0.5525 indri
10005 Q0 chart-5, Zoltar, ACS, combine: 323 324 0.5525 indri
10005 Q0 chart-5, Zoltar, SimFix, combine: 325 325 0.5525 indri
10005 Q0 chart-5, Zoltar, TBar, combine: 326 326 0.5525 indri
10005 Q0 chart-5, Zoltar, jGenProg, combine: 327 327 0.5525 indri
10005 Q0 chart-5, Zoltar, jKali, combine: 328 328 0.5525 indri
10005 Q0 chart-5, Zoltar, jMutRepair, combine: 329 329 0.5525 indri
10006 Q0 chart-6, RussellRao, ACS, combine: 246 1 0.55704 indri
10006 Q0 chart-6, RussellRao, Nopol, combine: 247 2 0.55704 indri
10006 Q0 chart-6, RussellRao, SimFix, combine: 248 3 0.55704 indri
10006 Q0 chart-6, RussellRao, TBar, combine: 249 4 0.55704 indri
10006 Q0 chart-6, RussellRao, jGenProg, combine: 250 5 0.55704 indri
10006 Q0 chart-6, RussellRao, jKali, combine: 251 6 0.55704 indri
10006 Q0 chart-6, RussellRao, jMutRepair, combine: 252 7 0.55704 indri
10006 Q0 chart-6, Wong1, ACS, combine: 302 8 0.55704 indri
10006 Q0 chart-6, Wong1, Nopol, combine: 303 9 0.55704 indri
10006 Q0 chart-6, Wong1, SimFix, combine: 304 10 0.55704 indri
10006 Q0 chart-6, Wong1, TBar, combine: 305 11 0.55704 indri
10006 Q0 chart-6, Wong1, jGenProg, combine: 306 12 0.55704 indri
10006 Q0 chart-6, Wong1, jKali, combine: 307 13 0.55704 indri
10006 Q0 chart-6, Wong1, jMutRepair, combine: 308 14 0.55704 indri
10006 Q0 chart-6, HarmonicMean, ACS, combine: 120 15 0.55303 indri
10006 Q0 chart-6, HarmonicMean, Nopol, combine: 121 16 0.55303 indri
10006 Q0 chart-6, HarmonicMean, SimFix, combine: 122 17 0.55303 indri
10006 Q0 chart-6, HarmonicMean, TBar, combine: 123 18 0.55303 indri
10006 Q0 chart-6, HarmonicMean, jGenProg, combine: 124 19 0.55303 indri
10006 Q0 chart-6, HarmonicMean, jKali, combine: 125 20 0.55303 indri
10006 Q0 chart-6, HarmonicMean, jMutRepair, combine: 126 21 0.55303 indri
10006 Q0 chart-6, Ample, ACS, combine: 1 22 0.5525 indri
10006 Q0 chart-6, Ample, Nopol, combine: 2 23 0.5525 indri
10006 Q0 chart-6, Ample, SimFix, combine: 3 24 0.5525 indri
10006 Q0 chart-6, Ample, TBar, combine: 4 25 0.5525 indri
10006 Q0 chart-6, Ample, jGenProg, combine: 5 26 0.5525 indri
10006 Q0 chart-6, Ample, jKali, combine: 6 27 0.5525 indri
10006 Q0 chart-6, Ample, jMutRepair, combine: 7 28 0.5525 indri
10006 Q0 chart-6, Anderberg, ACS, combine: 8 29 0.5525 indri
10006 Q0 chart-6, Anderberg, Nopol, combine: 9 30 0.5525 indri
10006 Q0 chart-6, Anderberg, SimFix, combine: 10 31 0.5525 indri
10006 Q0 chart-6, Anderberg, TBar, combine: 11 32 0.5525 indri
10006 Q0 chart-6, Anderberg, jGenProg, combine: 12 33 0.5525 indri
10006 Q0 chart-6, Anderberg, jKali, combine: 13 34 0.5525 indri
10006 Q0 chart-6, Anderberg, jMutRepair, combine: 14 35 0.5525 indri
10006 Q0 chart-6, ArithmeticMean, ACS, combine: 15 36 0.5525 indri
10006 Q0 chart-6, ArithmeticMean, Nopol, combine: 16 37 0.5525 indri
10006 Q0 chart-6, ArithmeticMean, SimFix, combine: 17 38 0.5525 indri
10006 Q0 chart-6, ArithmeticMean, TBar, combine: 18 39 0.5525 indri
10006 Q0 chart-6, ArithmeticMean, jGenProg, combine: 19 40 0.5525 indri
10006 Q0 chart-6, ArithmeticMean, jKali, combine: 20 41 0.5525 indri
10006 Q0 chart-6, ArithmeticMean, jMutRepair, combine: 21 42 0.5525 indri
10006 Q0 chart-6, BaroniUrbaniBuser, ACS, combine: 22 43 0.5525 indri
10006 Q0 chart-6, BaroniUrbaniBuser, Nopol, combine: 23 44 0.5525 indri
10006 Q0 chart-6, BaroniUrbaniBuser, SimFix, combine: 24 45 0.5525 indri
10006 Q0 chart-6, BaroniUrbaniBuser, TBar, combine: 25 46 0.5525 indri
10006 Q0 chart-6, BaroniUrbaniBuser, jGenProg, combine: 26 47 0.5525 indri
10006 Q0 chart-6, BaroniUrbaniBuser, jKali, combine: 27 48 0.5525 indri
10006 Q0 chart-6, BaroniUrbaniBuser, jMutRepair, combine: 28 49 0.5525 indri
10006 Q0 chart-6, BraunBanqust, ACS, combine: 29 50 0.5525 indri
10006 Q0 chart-6, BraunBanqust, Nopol, combine: 30 51 0.5525 indri
10006 Q0 chart-6, BraunBanqust, SimFix, combine: 31 52 0.5525 indri
10006 Q0 chart-6, BraunBanqust, TBar, combine: 32 53 0.5525 indri
10006 Q0 chart-6, BraunBanqust, jGenProg, combine: 33 54 0.5525 indri
10006 Q0 chart-6, BraunBanqust, jKali, combine: 34 55 0.5525 indri
10006 Q0 chart-6, BraunBanqust, jMutRepair, combine: 35 56 0.5525 indri
10006 Q0 chart-6, Cohen, ACS, combine: 36 57 0.5525 indri
10006 Q0 chart-6, Cohen, Nopol, combine: 37 58 0.5525 indri
10006 Q0 chart-6, Cohen, SimFix, combine: 38 59 0.5525 indri
10006 Q0 chart-6, Cohen, TBar, combine: 39 60 0.5525 indri
10006 Q0 chart-6, Cohen, jGenProg, combine: 40 61 0.5525 indri
10006 Q0 chart-6, Cohen, jKali, combine: 41 62 0.5525 indri
10006 Q0 chart-6, Cohen, jMutRepair, combine: 42 63 0.5525 indri
10006 Q0 chart-6, Dennis, ACS, combine: 43 64 0.5525 indri
10006 Q0 chart-6, Dennis, Nopol, combine: 44 65 0.5525 indri
10006 Q0 chart-6, Dennis, SimFix, combine: 45 66 0.5525 indri
10006 Q0 chart-6, Dennis, TBar, combine: 46 67 0.5525 indri
10006 Q0 chart-6, Dennis, jGenProg, combine: 47 68 0.5525 indri
10006 Q0 chart-6, Dennis, jKali, combine: 48 69 0.5525 indri
10006 Q0 chart-6, Dennis, jMutRepair, combine: 49 70 0.5525 indri
10006 Q0 chart-6, Dice, ACS, combine: 50 71 0.5525 indri
10006 Q0 chart-6, Dice, Nopol, combine: 51 72 0.5525 indri
10006 Q0 chart-6, Dice, SimFix, combine: 52 73 0.5525 indri
10006 Q0 chart-6, Dice, TBar, combine: 53 74 0.5525 indri
10006 Q0 chart-6, Dice, jGenProg, combine: 54 75 0.5525 indri
10006 Q0 chart-6, Dice, jKali, combine: 55 76 0.5525 indri
10006 Q0 chart-6, Dice, jMutRepair, combine: 56 77 0.5525 indri
10006 Q0 chart-6, Dstar, ACS, combine: 57 78 0.5525 indri
10006 Q0 chart-6, Dstar, Nopol, combine: 58 79 0.5525 indri
10006 Q0 chart-6, Dstar, SimFix, combine: 59 80 0.5525 indri
10006 Q0 chart-6, Dstar, TBar, combine: 60 81 0.5525 indri
10006 Q0 chart-6, Dstar, jGenProg, combine: 61 82 0.5525 indri
10006 Q0 chart-6, Dstar, jKali, combine: 62 83 0.5525 indri
10006 Q0 chart-6, Dstar, jMutRepair, combine: 63 84 0.5525 indri
10006 Q0 chart-6, Euclid, ACS, combine: 64 85 0.5525 indri
10006 Q0 chart-6, Euclid, Nopol, combine: 65 86 0.5525 indri
10006 Q0 chart-6, Euclid, SimFix, combine: 66 87 0.5525 indri
10006 Q0 chart-6, Euclid, TBar, combine: 67 88 0.5525 indri
10006 Q0 chart-6, Euclid, jGenProg, combine: 68 89 0.5525 indri
10006 Q0 chart-6, Euclid, jKali, combine: 69 90 0.5525 indri
10006 Q0 chart-6, Euclid, jMutRepair, combine: 70 91 0.5525 indri
10006 Q0 chart-6, Fleiss, ACS, combine: 71 92 0.5525 indri
10006 Q0 chart-6, Fleiss, Nopol, combine: 72 93 0.5525 indri
10006 Q0 chart-6, Fleiss, SimFix, combine: 73 94 0.5525 indri
10006 Q0 chart-6, Fleiss, TBar, combine: 74 95 0.5525 indri
10006 Q0 chart-6, Fleiss, jGenProg, combine: 75 96 0.5525 indri
10006 Q0 chart-6, Fleiss, jKali, combine: 76 97 0.5525 indri
10006 Q0 chart-6, Fleiss, jMutRepair, combine: 77 98 0.5525 indri
10006 Q0 chart-6, Fossum, ACS, combine: 78 99 0.5525 indri
10006 Q0 chart-6, Fossum, Nopol, combine: 79 100 0.5525 indri
10006 Q0 chart-6, Fossum, SimFix, combine: 80 101 0.5525 indri
10006 Q0 chart-6, Fossum, TBar, combine: 81 102 0.5525 indri
10006 Q0 chart-6, Fossum, jGenProg, combine: 82 103 0.5525 indri
10006 Q0 chart-6, Fossum, jKali, combine: 83 104 0.5525 indri
10006 Q0 chart-6, Fossum, jMutRepair, combine: 84 105 0.5525 indri
10006 Q0 chart-6, Goodman, ACS, combine: 85 106 0.5525 indri
10006 Q0 chart-6, Goodman, Nopol, combine: 86 107 0.5525 indri
10006 Q0 chart-6, Goodman, SimFix, combine: 87 108 0.5525 indri
10006 Q0 chart-6, Goodman, TBar, combine: 88 109 0.5525 indri
10006 Q0 chart-6, Goodman, jGenProg, combine: 89 110 0.5525 indri
10006 Q0 chart-6, Goodman, jKali, combine: 90 111 0.5525 indri
10006 Q0 chart-6, Goodman, jMutRepair, combine: 91 112 0.5525 indri
10006 Q0 chart-6, Gower, ACS, combine: 92 113 0.5525 indri
10006 Q0 chart-6, Gower, Nopol, combine: 93 114 0.5525 indri
10006 Q0 chart-6, Gower, SimFix, combine: 94 115 0.5525 indri
10006 Q0 chart-6, Gower, TBar, combine: 95 116 0.5525 indri
10006 Q0 chart-6, Gower, jGenProg, combine: 96 117 0.5525 indri
10006 Q0 chart-6, Gower, jKali, combine: 97 118 0.5525 indri
10006 Q0 chart-6, Gower, jMutRepair, combine: 98 119 0.5525 indri
10006 Q0 chart-6, GP13, ACS, combine: 99 120 0.5525 indri
10006 Q0 chart-6, GP13, Nopol, combine: 100 121 0.5525 indri
10006 Q0 chart-6, GP13, SimFix, combine: 101 122 0.5525 indri
10006 Q0 chart-6, GP13, TBar, combine: 102 123 0.5525 indri
10006 Q0 chart-6, GP13, jGenProg, combine: 103 124 0.5525 indri
10006 Q0 chart-6, GP13, jKali, combine: 104 125 0.5525 indri
10006 Q0 chart-6, GP13, jMutRepair, combine: 105 126 0.5525 indri
10006 Q0 chart-6, Hamann, ACS, combine: 106 127 0.5525 indri
10006 Q0 chart-6, Hamann, Nopol, combine: 107 128 0.5525 indri
10006 Q0 chart-6, Hamann, SimFix, combine: 108 129 0.5525 indri
10006 Q0 chart-6, Hamann, TBar, combine: 109 130 0.5525 indri
10006 Q0 chart-6, Hamann, jGenProg, combine: 110 131 0.5525 indri
10006 Q0 chart-6, Hamann, jKali, combine: 111 132 0.5525 indri
10006 Q0 chart-6, Hamann, jMutRepair, combine: 112 133 0.5525 indri
10006 Q0 chart-6, Hamming, ACS, combine: 113 134 0.5525 indri
10006 Q0 chart-6, Hamming, Nopol, combine: 114 135 0.5525 indri
10006 Q0 chart-6, Hamming, SimFix, combine: 115 136 0.5525 indri
10006 Q0 chart-6, Hamming, TBar, combine: 116 137 0.5525 indri
